正文,真实值,预测值
目的 探讨 分析 中西医 治疗 口腔 糜烂 型 平台 藓 疾病 疗效 价值 方法 选取 我院 收治 口腔 糜烂 型 扁平苔藓 患者 例 采用 随机抽样 方法 分为 实验组 例 对照组 例 对照组 患者 采用 醋酸 泼尼松 龙 注射 药物 用于 病症 区域 基 底部 实验组 患者 采用 中西医 治疗 方法 治疗 分析 两组 患者 疗效 两组 患者 采用 应 治疗 方法 病情 明显好转 实验组 患者 治疗 有效率 对照组 差异 统计学 意义 实验组 患者 疾病 复发率 对照组 差异 统计学 意义 结论 口腔 糜烂 型 扁平苔藓 疾病 西医 治疗 方法 短期内 疗效 根治 效果 不佳 疾病 复发 值得 临床 推广,1,[0.9076863]
正 羊 口疮 病 称 传染性 脓疱 病 口疮 病毒 一种 高度 接性 传染病 临床 口腔炎 疱诊 溃疡 流涎 结痂 主要症状 该病 发病率 高 传播 临床 治疗 难 根治 本病 发生 月 雨季 充沛 季节 月龄 羔羊 发病 本病 全身 症状 口腔 炎症 羊 进食 困难 食欲 下降 治疗 羊 体质 下降 续发 感染 病而 发生 病情恶化 死亡 该病 损失 死亡 虽不多 口腔 炎症 痛感 羊 进食 难而易 感染 病 感染 坏死 杆菌 链球菌 葡萄球菌 病菌 高度 重,0,[6.5627086e-05]
正畸 治疗 过程 疼痛 最为 常见 最为 棘手 关系 正畸 治疗 成效 关系 患者 接受 正畸 治疗 意愿 包括 年龄 患者 依从性 年龄 患者 疼痛 敏感性 寻求 减少 正畸 治疗 过程 中 疼痛 正畸 疼痛 基本规律 正畸 学 研究 方向 本文 正畸 疼痛 相关 介质 基础 研究进展 做 综述,0,[5.2934658e-05]
目的 研究 维生素 多发性 口腔溃疡 家兔 血清 中 白介素 白介素 表达 水平 影响 方法 家兔 随机 分为 组 每组 随机 选取 设立 空白对照 组 只用 免疫 法 建立 家兔 模型 随机 分 组 阳性 对照组 左旋 咪唑 组及 维生素 组 观察 口腔溃疡 变化 采用 酶 联 免疫吸附 法 检测 各组 家兔 灌胃 结束 血清 中 含量 阳性 对照组 空白对照 组 阳性 对照组 中 含量 升高 差异 统计学 意义 左旋 咪唑 组和 维生素 组与 阳性 对照组 两 实验组 中 水平 低于 阳性 对照组 差异 统计学 意义 维生素 组与 左旋 咪唑 组 相比 差异 统计学 意义 结论 维生素 补充 微量元素 调节 机体 免疫 功能 调控 机体 中 细胞因子 表达 降低 血清 中 高水平 含量 治疗 作用 机制,0,[0.6923972]
目的 评价 紫草 油 治疗 复发性 口腔溃疡 临床 疗效 方法 例 口腔溃疡 患者 随机 分为 治疗 组 组 例 对照组 组 例 组用 紫草 油 治疗 组用 碘甘油 治疗 观察 两组 患者 治疗 有效率 溃疡 面积 改善 溃疡 期 分析 周后 组 治疗 有效率 高于 组 溃疡 面积 改变 组 ± 高于 组 ± 溃疡 期 组 ± 短于 组 ± 差异 统计学 意义 结论 紫草 油 治疗 复发性 口腔溃疡 疗效显著 不良反应 患者 易 接受 值得 临床 推广应用,1,[0.9970291]
唾液腺 淋巴 上皮 癌是 原发 唾液腺 一种 罕见 恶性肿瘤 最早 年 首次 报道 提出 多个 别名 淋巴 上皮 瘤样 癌 恶性 淋巴 上皮 病变 伴 淋巴 样 间质 未 分化 癌 癌 淋巴 上皮 病变 中 头颈 肿瘤 分类 版 年 正式 更名 淋巴 上皮 癌 唾液腺 淋巴 上皮 癌 临床 诊治 尚未 规范 本文 旨在 唾液腺 淋巴 上皮 癌 发病 机制 临床 病理 诊断 治疗 预后 综述,0,[1.7284932e-05]
目的 分析 护理 干预 老年 牙周炎 患者 临床 治疗 效果 影响 方法 例 老年 牙周炎 患者 随机 对照组 观察 组 例 对照组 患者 采用 牙周炎 常规 护理 模式 护理 观察 组 患者 采用 常规 护理 模式 护理 基础 实施 干预 护理 分析 两组 患者 临床 治疗 效果 护理 结束 观察 组 患者 临床 治疗 总 有效率 高于 对照组 患者 组间 差异 统计学 意义 观察 组 患者 牙周炎 相关 指标 改善 情况 优于 对照组 组间 差异 统计学 意义 结论 老年 牙周炎 患者 实施 护理 干预 改善 患者 临床 治疗 效果 提高 患者 生活 质量 临床 价值,1,[0.9766615]
口腔 正畸 治疗 越来越 接受 专业人才 需求 增加 高职 院校 学生 口腔 正畸 工艺技术 课程 学习 相关 情况 上海交通大学 医学院 附属 卫生学校 上海 医药 高等 专科学校 级 学习 口腔 正畸 工艺技术 课程 学生 总 样本 自编 高职 院校 口腔医学 技术 专业 口腔 正畸 工艺技术 课程 学生 问卷 问卷调查 分析 讨论 问卷调查 课程 教学模式 改革 提供,0,[2.5747182e-05]
目的 研究 口腔医院 颌面 外科 患者 检出 细菌 分布 耐药 情况 临床 抗菌 药物 选用 多重 耐药 菌 目标 监测 提供 方法 收集 中山大学 附属 口腔医院 年 月 年 月 颌面 外科 感染 患者 检出 菌株 检出 病原菌 分布 耐药 情况 回顾性 分析 年份 间 耐药 率 差异性 卡方 检验 统计分析 差异 统计学 意义 检出 病原菌 株 革兰 阳性菌 占 革兰 阴性菌 占 检出 总量 排名 前 位 病原菌 铜绿 假 单胞菌 肺炎 克雷伯 菌 草绿色 链球菌 检出 量 株 年份 分离 铜绿 假 单胞菌 头孢 二代 三代 耐药 率 低于 限制级 抗菌药 物美 洛培南 χ 氨曲南 χ 耐药 率 低于 年份 分离 金黄色 葡萄球菌 青霉素 耐药 率 高于 χ 年 分离 阴沟 肠 杆菌 四环素 类 磺胺类 头孢菌素 类 耐药 率 超过 结论 年 口腔医院 颌面 外科 检出 铜绿 假 单胞菌 肺炎 克雷伯 菌 数量 金黄色 葡萄球菌 阴沟 肠 杆菌 耐药 情况 最为 应 着重 铜绿 假 单胞菌 肺炎 克雷伯 菌 感染 控制 重点 监测 金黄色 葡萄球菌 阴沟 肠 杆菌 耐药 情况,0,[1.8425328e-06]
正 牙周病 指 牙齿 支持 组织 牙龈 牙槽骨 牙骨质 牙周 韧带 炎症 导致 一种 疾病 临床 常见 口腔疾病 疾病 成年人 丧失 牙齿 原因 临床 局部 炎症 轻重 牙周病 分为 牙周炎 牙龈炎 牙周病 患者 牙龈 发炎 出血 疼痛 口臭 症状 严重者 还会 牙齿 松动 移位 咀嚼 无力 牙齿 酸软 脱落 还会 诱发 心脏病 抑郁症 血液病 疾病 严重威胁 患者 生活 质量 现代医学 发展 疾病,0,[0.00014781]
目的 氧化锆 全瓷 冠 修复 前 牙牙 体 修复 患者 中 研究 方法 回顾性 分析 年 月 年 月 我科 接诊 例前 牙牙 体 修复 患者 临床 资料 按冠 修复 材料 分为 两组 例 研究组 患者 给予 氧化锆 全瓷 冠 修复 对照组 患者 给予 钴 铬 合金 烤瓷 冠 修复 随访 月 随访 期内 观察 两种 修复 材料 患者 牙周组织 影响 研究组 牙周组织 患者 比例 达 对照组 组间 差异 统计学 意义 对照组 修复 牙周组织 过敏 牙龈炎 发生率 高于 研究组 结论 氧化锆 全瓷 冠 修复 减轻 牙周组织 刺激 降低 牙周病 损 发生率 值得 临床 推广应用,0,[2.5699688e-05]
目的 探讨 口腔 粘接 固定 修复 中 临床 方法 方法 选取 年 月 年 月 我院 口腔 粘接 固定 修复 临床 患者 例 口腔 粘接 固定 修复 中 分析 例 患者 中 术后 牙齿 敏感 例 技术 敏感性 例 纤维 桩 粘接 例 着色 染色 继发龋 例 全瓷 冠 粘接 例 瓷 贴面 粘接 例 选择 合适 方法 患者 满意度 高于 前 差异 统计学 意义 结论 临床 医生 口腔 粘接 固定 修复 中 选择 针对性 解决方案 确保 口腔 粘接 固定 修复 顺利完成,0,[0.00294784]
目的 调查 心脏 瓣膜 置换术 患者 呼吸道 微生物 定植 情况 探讨 影响 因素 临床 护理 干预 提供 方法 前瞻性 调查 年 月 笔者 医院 心脏外科 风湿性 心脏 瓣膜病 行 瓣膜 置换术 患者 呼吸道 微生物 定植 情况 患者 分为 呼吸道 微生物 阳性 组及 阴性 组 采用 多元 回归 模型 分析 呼吸道 微生物 定植 影响 因素 纳入 患者 例 呼吸道 微生物 培养 阳性者 例 定植 率为 检出 定植 微生物 株 革兰氏 阳性 球菌 株 革兰氏 阴性 球菌 株 革兰氏 阴性 杆菌 株 真菌 株 术 前牙 菌斑指数 ≥ 分 机械 通气 时间 心脏 瓣膜 置换术 患者 呼吸道 微生物 定植 危险 因素 结论 术 前 口腔卫生 状况 机械 通气 时间 心脏 瓣膜 置换术 患者 呼吸道 微生物 定植 影响 因素 需 重视 患者 术 前 口腔卫生 评估 术 前 口腔 护理 干预 机械 通气 期间 应 口腔 护理 干预 清除 患者 口 咽部 分泌物 减少 微生物 误吸 准确 拔管 指征 拔除 气管 插管,0,[2.1586979e-05]
目的 自然 愈合 观察 骨 缺损 磨牙 拔牙 同期 植入 蛋白 牛骨 基质  覆盖 吸收 胶原 膜  愈合 月 牙槽骨 高度 宽度 变化 方法 名 患者 颗 牙周病 变 拔除 磨牙 纳入 研究 分为 对照组 牙齿 拔除 自然 愈合 组 试验 组 蛋白 牛骨 基质 吸收 胶原 膜 拔牙 位点 保存 组 术后 术后 月 拍摄 平行 投照 根尖片 和锥束 计算机 体层 摄影术 检查 根尖片 测量 评价 术后 月 牙槽骨 高度 宽度 变化 术后 月 试验 组 中央 远 中颊 侧 牙槽骨 高度 增加 对照组 中央 远 中颊 侧 牙槽骨 高度 降低 两组 间 差异 统计学 意义 两组 骨 宽度 变化 差异 统计学 意义 结论 骨 缺损 磨牙 蛋白 牛骨 基质 吸收 胶原 膜 拔牙 位点 保存 明显增加 颊 侧 牙槽骨 高度 牙槽嵴顶 根方 处 牙槽骨 宽度,0,[0.01544655]
目的 口腔 专科 护士 规范化 培训 口腔 专科 护士 熟悉 口腔 护理 核心技术 更新 理论 临床 操作 配合 方法 采用 课堂 讲课 示范 口腔 专科 操作 护理 技能 演练 临床 专科 随诊 实践 指导 方法 名 学员 口腔 专科 护士 规范化 培训 培训 口腔 专科 护士 培训 目标 理论 考试成绩 分 分 分 分 操作 考试成绩 分 分 分 分 结论 口腔 专科 护士 规范化 培训 更新 观念 全新 口腔 护理 核心 理论 技术,0,[0.00407868]
目的 测试 粘接 树脂 水门汀 口腔 修复 材料 剪切 粘接 强度 影响 方法 临床 常用 修复 材料 高强度 玻璃 陶瓷 金属 烤瓷 镍铬 合金 树脂 制作 统一标准 试样 试样 粘接 树脂 水门汀 粘接 万能 材料 试验机 测试 粘接 强度 修复 材料 剪切 粘接 强度 平均值 高强度 玻璃 陶瓷 ± 镍铬 合金 ± 金属 烤瓷 ± 树脂 ± 粘接 树脂 水门汀 高强度 玻璃 陶瓷 树脂 组 剪切 粘接 强度 高于 金属 烤瓷 组 高于 金属 烤瓷 组 结论 粘接 树脂 水门汀 高强度 玻璃 陶瓷 树脂 粘接 强度 高于 金属 烤瓷 镍铬 合金 粘接 强度,0,[0.00015703]
目的 廊坊市 岁 儿童 恒牙 患 龋 状况 制定 针对性 龋 病 群体 预防措施 提供 科学依据 方法 口腔 健康 调查 方法 版 标准 廊坊市 区 小学 名 岁 儿童 口腔 检查 名 受检者 中 周岁 儿童 恒牙 患 龋 率 龋 龋面 充填 率 呈现 年龄 增加 升高 趋势 充填 率 整体 低 男女 患 龋 率 龋 龋面 女性 高于 男性 χ 第一 恒 磨牙 患 龋 数最多 下颌 多于 上颌 结论 廊坊市 岁 儿童 恒牙 患 龋 率 年龄 增长 升高 女性 高于 男性 龋齿 发于 下颌 第一 磨牙 整体 充填 率 低,0,[0.00018363]
目的 评价 顺铂 氟尿嘧啶 区域性 持续 动脉 灌注 化疗 口腔癌 疗效 安全性 方法 入选 口腔癌 患者 例 随机 分为 对照组 例 试验 组 例 对照组 肌内 注射 平阳 霉素 每日 次 试验 组以 微量 注射 泵 持续 动脉 灌注 顺铂 天 氟尿嘧啶 持续 灌注 化疗 周期 组 患者 化疗 周期 组 患者 客观 率 不良反应 发生 情况 对照组 客观 缓解 率为 低于 试验 组 试验 组 发生 恶心 呕吐 例 骨髓 抑制 例 对照组 例 例 试验 组 总体 不良反应 发生率 低于 对照组 结论 顺铂 氟尿嘧啶 区域性 持续 动脉 灌注 化疗 口腔癌 疗效显著 不良反应 发生率 低,1,[0.99937785]
目的 初步 氢谱 核磁共振 代谢 组学 方法 口腔 耐药 非 耐药 口腔 鳞癌 鉴定 方法 法 绘制 细胞 生长 曲线 检测 药物 敏感性 免疫 组织化学 检测 多药 耐药 现象 相关 蛋白 表达 情况 收集 胞外 代谢 产物 核磁共振 检测 用主 成分 分析法 数据分析 主 成分 分析法 显示 耐药 细胞 非 耐药 细胞 数据 内部 聚类 关系 氢谱 核磁共振 代谢 组学 方法 区分 耐药 非 耐药 结论 代谢 组学 方法 耐药性 口腔 癌细胞 快速 鉴定 中 前景 有望 一种 新 检测 手段,0,[1.4848192e-05]
目的 研究 双 伺服 加 温湿 化器 用于 张口 呼吸 病人 气道 湿化 临床 效果 方法 例 张口 呼吸 病人 随机 分为 两组 试验 组 采用 双 伺服 加 温湿 化器 持续 湿化 对照组 采用 压缩 雾化 吸入 机 持续 雾化 吸入 观察 口腔 黏膜 湿化 效果 气道 评分 痰 液 黏稠度 气道 湿化 效果 呼吸 血气 分析 变化 观察 气道 不良反应 发生 情况 两组 口腔 黏膜 湿化 效果 痰 液 黏稠度 肺部 啰 音 刺激性 咳嗽 差异 统计学 意义 结论 双 伺服 加 温湿 化器 张口 呼吸 病人 气道 起到 气道 湿化 效果 痰 液 引流 通畅 口腔 黏膜 痰 痂 减少 血气 分析 指标 改善 降低 肺部 并发症 发生 风险 不良反应 发生率 低,1,[0.9952952]
目的 学龄前 儿童 龋齿 患病 情况 相关 因素 学龄前 儿童 中 龋齿 防治 工作 提供 科学依据 方法 采用 整群 抽样 方法 随机 抽取 城区 幼儿园 岁 儿童 调查 对象 流行病学 专家 经过培训 保健 医生 儿童 口腔 检查 问卷调查 工作 统计分析 本组 名 儿童 患 龋 率 龋 性别 之间 差异 统计学 意义 患 龋 率 年龄 增大 升高 差异 统计学 意义 龋齿 充填 率为 充填 率 年龄 增加 升高 差异 统计学 意义 调查 发现 刷牙 年龄 刷牙 次数 含氟 牙膏 饭后漱口 喜 吃 甜食 零食 口腔 检查 母亲 文化 程度 家庭 年收入 相关 因素 学龄前 儿童 龋齿 发生 影响 因素 结论 城区 学龄前 儿童 龋 患率 高 应 综合 措施 重点 家长 龋齿 防治 知识 健康 教育 儿童 身心健康,0,[0.00208941]
目的 观察 分析 型 糖尿病 患者 发生 缺牙 原因 义齿 修复 中 相关 影响 因素 方法 选取 例 型 糖尿病 患者 列入 观察 组 同期 选取 例非 糖尿病 人员 列入 对照组 分析 两组 人员 牙周病 牙数 缺牙数 龋 病牙 数 情况 分析 其牙列 缺损 情况 义齿 修复 情况 型 糖尿病 患者 缺牙 影响 因素 两组 牙周病 牙数 缺牙数 牙列 缺损 数 相比 观察 组均 多于 对照组 差异 统计学 意义 两组 牙列 缺损 情况 牙周病 牙数 定期 口腔 健康检查 情况 差异 统计学 意义 结论 型 糖尿病 患者 伴有 缺牙 现象 原因 包括 牙列 缺损 情况 牙周病 牙 数等 患者 定期 口腔 健康检查 密切相关 预防,0,[0.00155626]
目的 观察 口腔 正畸 固定 矫治 技术 牙弓 夹板 治疗 牙槽 突 骨折 临床 疗效 方法 选择 牙槽 突 骨折 患者 例 随机 分为 正畸 固定 矫治 组及 牙弓 夹板 组 正畸 固定 矫治 组 采用 正畸 托槽 钢丝 固定 骨折 线 两端 植入 种植 支抗 钉 结扎 牵引 牙弓 夹板 组 采用 牙弓 夹板 固定 临床 疗效 牙龈 出血指数 两个 分析 两组 治疗 效果 固定 矫治 组 优秀率 牙弓 夹板 组 优秀率 差异 统计学 意义 牙龈 指数 拆除 固定 前 固定 矫治 组 牙龈 出血指数 牙弓 夹板 组为 差异 统计学 意义 结论 口腔 正畸 固定 矫治 技术 治疗 牙槽 突 骨折 疗效 牙周 损伤 值得 推广,1,[0.9871393]
目的 观察 骨髓 间 充质 干细胞 成骨 分化 过程 中长 链非 编码 表达 谱 变化 方法 成骨 诱导 分化 细胞 研究 对象 利用 芯片 技术 筛选 出成 骨 诱导 分化 倍 变化 幅度 差异 实时 荧光 定量 芯片 验证 选取 筛选 中 表达 差异 较大 利用 芯片 筛选 分析 邻近 蛋白 编码 基因 经成 骨 诱导 分化 成骨细胞 特性 芯片 筛选 结果表明 成骨 诱导 分化 前 相比 成骨 诱导 分化 持续 表达 上调 超过 倍 条 下调 超过 倍 条 选取 验证 芯片 相符合 邻近 蛋白 编码 基因 分析 提示 成骨 分化 过程 中 发挥 作用 结论 成骨 诱导 分化 表达 谱 发生 变化 提示 差异 表达 成骨 分化 密切相关 进一步 解释 成骨 分化 机制,0,[2.6493446e-05]
正 口腔溃疡 又称 口疮 发生 口腔 黏膜 表浅 性溃疡 麻科 活人 全书 口疮 症状 详尽 描述 口疮 症 满口 唇舌 生疮 黄 赤 或白 而烂 牙龈 无恙 笔者 采用 针灸 治疗 口腔溃疡 患者 例 现 报道,0,[0.00043042]
目的 探讨 游离 皮瓣 移植 修复 口腔癌 缺损 术后 患者 误吸 预防措施 方法 回顾性 分析 年 月 年 月 河南省 肿瘤医院 头颈 科 治疗 例 游离 皮瓣 移植 修复 口腔癌 缺损 术后 患者 临床 资料 患者 术后 鼻饲 饮食 时 抬高 床头 ° ° 措施 例 患者 未 发生 误吸 血管 危象 结论 游离 皮瓣 移植 修复 口腔癌 缺损 术后 患者 鼻饲 饮食 时 抬高 床头 措施 影响 皮瓣 成活 预防 术后 误吸 发生,0,[2.4640917e-06]
颞 下颌 关节 生物力学 研究 多种 方法 科技 学科 间 越来越 紧密 三维 有限元法 建立 颞 下颌 关节 研究 颞 下颌 关节 生物力学 基础 本文 回顾 相关 文献 颞 下颌 关节 结构 三维 有限元 建模 作一 综述,0,[1.1991371e-05]
目的 观察 中药 口腔 护理液 临床 口腔 护理 实践 中 方法 随机 例 需行 口腔 护理 患者 分成 甲乙 两组 例 给予 常规 护理液 中药 护理液 护理 观察 护理 效果 两组 护理 口腔 清洁 情况 改善 乙组 有效率 高达 高于 甲组 甲组 患者 清洁 感 不适感 依从性 乙组 差异 统计学 意义 结论 中药 口腔 护理液 提升 患者 口腔 清洁度 效果显著,1,[0.2135995]
目的 评估 上海 贫困 老年人 全口义齿 免费 修复 项目 受益人 口腔 健康 相关 生活 质量 影响 方法 参加 该项 目的 受益人 采用 比例 随机抽样 方法 抽取 人为 研究 对象 问卷调查 调查 内容 包括 口腔 健康 影响 程度 量表 简化 中文版 评估 全口义齿 修复 口腔 健康 生活 质量 全口义齿 修复 口腔 健康状况 自我 评估 全口义齿 修复 前及 修复 总分 均值 ± ± 领域 修复 得分 低于 修复 前 得分 全口义齿 修复 前 研究 对象 经历 口腔 带来 负面影响 修复 报告 负面影响 全口义齿 修复 前 研究 对象 自我 评价 口腔 健康状况 差 差 修复 研究 对象 口腔 健康状况 明显改善 非常明显 改善 结论 全口义齿 免费 修复 项目 实施 改善 受益 老年人 口腔 健康状况 提高,0,[0.00106292]
三叉神经痛 病因 发病 机制 尚未 导致 临床 缺乏 治疗 措施 解除 三叉神经痛 患者 口 面部 剧烈 疼痛 理想 三叉神经痛 动物模型 发病 机制 研究 基础 三叉神经痛 临床 治疗 基础 研究 中 发现 新颖 实用 三叉神经痛 动物模型 相继 提出 动物模型 优势 三叉神经痛 发病 机制 研究 方向 推进 三叉神经痛 病因 发病 机制 研究进展,0,[4.688617e-05]
目的 研究 预成 纤维 桩 口腔 修复 中 效果 方法 年 月 年 月间 我院 口腔科 接诊 例 活动 义齿 修复 固定 义齿 修复 患者 接诊 顺序 单双 号 分为 组 单号 组 患者 预成 纤维 桩 修复 观察 组 双号 组 患者 可塑 纤维 桩 修复 对照组 观察 组 修复 效果 修复 成功率 观察 组 患者 修复 效果 优于 对照组 修复 成功率 观察 组为 远远 高于 对照组 观察 组 患者 满意度 优于 对照组 结论 采用 预成 纤维 桩 修复 改善 患者 口腔 修复 效果 提高 成功率 患者 满意度 值得 临床 推广,1,[0.9845232]
目的 全麻 手术 病人 气管 插管 条 胶带 固定 易致 气管 导管 移位 口腔 分泌 刺激 面部 污染 手术 床头 板 研制 气管 导管 外 固定 贴 方法 选择 全麻 手术 病人 例 随机 分为 实验组 对照组 例 对照组 条 胶带 交叉 固定 实验组 条 胶带 交叉 固定 后加用 气管 导管 外 固定 贴 术后 观察 有无 导管 移位 有无 面部 发红 有无 面部 淤青 无污染 手术 床头 板 观察 数据 统计学 分析 实验组 气管 导管 移位 面部 发红 面部 淤青 手术 床头 板 污染 发生率 低于 对照组 差异 统计学 意义 结论 气管 导管 外 固定 贴 一种 操作 简便 器械,1,[0.9756723]
复发性 口腔溃疡 一种 常见 口腔疾病 西医 缺乏 疗效 肯定 治疗 手段 周翠英 教授 提出 气虚 为本 热毒 为标 观点 益气 托毒 治疗 本病 疗效显著,0,[0.0001158]
本文 杂志 型 广播节目 研究 对象 分析 杂志 型 广播节目 主持人 有声 语言 传播 风格 多样化 能力 声音 控制 外化 表达 两个 探讨 有声 语言 传播 样式 多样化 手段,0,[8.323204e-05]
目的 长期 住院 精神病 患者 口腔 感染 方法 例 口腔 感染 患者 资料 回顾性 分析 例 口腔 感染 患者 中 患 牙龈炎 例 患 牙周炎 例 例 占 全院 感染率 居 院内 感染 第二位 结论 精神病 患者 口腔 感染 牙龈炎 牙周炎,0,[7.824382e-07]
目的 医疗机构 口腔 综合 治疗 台 水路 卫生 管理 出水 水质 状况 探讨 控制 水路 污染 对策 措施 方法 采用 问卷调查 现场 观察 采样 检测 方法 上海市 医疗机构 口腔 综合 治疗 台 水路 污染 状况 调查 检验 卡方 检验 α 组间 调查 家 医疗机构 定期 口腔 综合 治疗 台 水路 过滤器 维护 家 储水瓶 清洗 消毒 家 负责人 关注 口腔 综合 治疗 台 水路 卫生 水质 状况 家 医疗机构 口腔 综合 治疗 台 水路 管道 清洗 消毒 水质 卫生 检测 采样 检测 单元 件 水样 水源 水 合格 件 出水 合格 件 灭菌 注射 用水 水源 水 出水 水样 细菌 总数 低于 蒸馏水 净 纯水 水源 水 出水 水样 细菌 总数 三用 枪 手机 出水 水样 细菌 总数 高于 漱口 用水 水样 细菌 总数 结论 口腔 综合 治疗 台 水路 污染 医疗机构 对此 日常 维护 意识 薄弱 建议 制定 相关 规范 标准 医护人员 培训 指导 规范 口腔 综合 治疗 台 水路 清洗 消毒 卫生 质量 控制,0,[5.361502e-05]
目的 分析 原发性 三叉神经痛 病因 发病 机制 方法 选择 三叉神经痛 患者 例 显 微血管 减压 术 中 观察 三叉神经 根部 病变 情况 三叉神经 根部 血管 压迫 例 蛛网膜 粘连 例 神经 根 萎缩 例 血管 脂质 斑 例 结论 三叉神经痛 病因 责任 血管 压迫 神经 根 萎缩 退变 蛛网膜 粘连 动脉硬化 诱因 微血管 减压 术 神经 根 切断术 临床 缓解 患者 原发 三叉神经痛,0,[0.00111469]
目的 观察 碳酸氢钠 强化 口腔 护理 预防 脑卒中 意识 障碍 患者 口腔 感染 效果 方法 例 脑卒中 意识 障碍 患者 随机 分为 观察 组和 对照组 例 观察 组予 碳酸氢钠 对照组 予 生理盐水 口腔 护理 干预 测定 口腔 值 检测 观察 口臭 溃疡 真菌 感染 并发症 发生 情况 干预 观察 组 患者 口腔 值较 干预 前 改善 对照组 改善 两组 间 差异 统计学 意义 对照组 口腔 并发症 发生率 高 口臭 真菌 感染 观察 组 差异 统计学 意义 结论 采用 碳酸氢钠 强化 口腔 护理 纠正 脑卒中 意识 障碍 患者 偏 酸性 口腔 值 减少 口腔 感染 并发症 发生,1,[0.9916728]
本文 气息 嘴型 口腔 三个 论述 影响 单簧管 演奏 音色 主观因素 提出 找到 最佳 发音 演奏 调整 策略,0,[0.00015552]
目的 牡丹江市 校医 学生 恒牙 患 龋 情况 指导 学生 口腔 保健 方法 自制 调查 问卷 牡丹江市 在校 名医 学生 调查 分析 医学生 恒牙 总 患 龋 率 龋 龋失补 比为 龋 失 补 女生 恒牙 患 龋 率 高于 男生 男 女生 恒牙 患 龋 率 差异 调查结果 分析 患 龋 情况 学生 口腔卫生 习惯 口腔 保健 意识 紧密 相关 结论 本次 调查 显示 牡丹江市 医学生 恒牙 患 龋 率 高 男 女生 恒牙 患 龋 差异 分析 所得 需 口腔卫生 保健 工作,0,[5.742296e-05]
目的 探讨 预防 中风 恢复期 患者 口腔 感染 口臭 方法 方法 选择 符合 病例 标准 中风 恢复期 患者 例 随机 分为 对照组 观察 组 例 观察 组 采用 自拟 甘草 银花 中 药液 做 口腔 护理 对照组 生理盐水 做 口腔 护理 观察 组在 预防 口腔 感染 中 效果 观察 组 效果 优于 对照组 差异 统计学 意义 结论 采用 甘草 银花 中 药液 做 口腔 护理 预防 中风 恢复期 患者 发生 口臭 口腔 感染,1,[0.9973013]
目的 探讨 生物 轴 口腔 鳞状 细胞 癌细胞 生物学 影响 方法 采用 法 检测 细胞 增殖 能力 趋化 实验 观察 细胞 侵袭 迁移 能力 口腔 鳞状 细胞 癌细胞 作用 增殖 明显增强 抗体 抑制 肿瘤 细胞 增殖 趋化 实验 显示 诱导 口腔 鳞状 细胞 癌细胞 发生 迁移 抗体 孵育 介导 细胞 侵袭 能力 减弱 结论 受体 配体 系统 介导 口腔 鳞状 细胞 癌细胞 增殖 迁移 癌细胞 颈部 淋巴结 转移 中 发挥 作用 干扰 相互作用 治疗 口腔 鳞状 细胞 癌 新 方法,0,[1.2488112e-05]
中国 口腔医学 教育 世界 各国 交流 我国 发达国家 之间 双向交流 学习 渐趋 常态 化 中山大学 光华 口腔 医学院 接纳 美英 等国 数批 知名 大学 牙 学院 交换 生 临床 实习 本文 带教 美国伊利诺伊大学 牙 学院 高年级 学生 期间 交流 观察 中美 两国 口腔医学 教育 培养 模式 教育 理念 思考 国内 同行 国际 交换 生 临床教学 工作 探讨,0,[0.00011365]
正 辽宁 科学技术 出版社 出版 章 前言 章 牙周 美学 治疗 章 微笑 微笑 章 美学 种植 治疗 章 面部 美学 章 章牙 牙槽骨 牙龈 联合体 参考文献 定价 需 购者 请 汇款 西安市 长乐 西路 号 第四军医大学 口腔 医学院 实用 口腔医学 杂志 编辑部 收 邮编 登陆 实用 口腔医学 杂志 网站 主页 扫描 杂志 微信 二维码 加微信 好友 微信 钱包 支付,0,[9.7795666e-05]
目的 口腔 护士 医院 组织 文化 护士 工作 生活 质量 感知 水平 探讨 二者之间 关系 方法 采用 组织 文化 量表 护士 工作 生活 质量 量表 云南省 口腔 专科医院 名 在职 护士 问卷调查 口腔 护士 医院 组织 文化 感知 中 绩效 考评 稳定 社会 责任感 组织 文化 中 占 地位 支持 创新 竞争 激励 处于 组织 文化 次要 地位 护士 工作 生活 质量 调查 结果显示 处于 中等水平 研究 中 组织 文化 维度 中 支持 稳定 激励 护士 工作 生活 质量 呈 正 相关 结论 组织 文化 提高 护士 工作 生活 质量 作用 建议 医院 重视 组织 文化 建设 科学 量化 绩效考核 授权 措施 营造 温馨 工作 环境 稳定 护士 队伍 提高 护理 质量,0,[2.3653933e-05]
校企 合作 打造 全新 实训 教学 基地 口腔 工艺 专业 实训室 建设 过程 中 打破常规 义齿 加工 企业 引入 实训室 建设 中来 口腔 工艺 专业 学生 提供 技术支持 保障 转化 经济效益 义齿 加工厂 专业 大工 手把手 传授 带领 一段时间 培训 锻炼 转化 生产力 校企 合作 互利 共赢 结合实际 优化 专业课程 结构 多管齐下 重点 锤炼 学生 动手 能力,0,[0.00022613]
